Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region
CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420.0,South
IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103.0,West
GH-14485,Gene Hale,Corporate,United States,Richardson,Texas,75080.0,Central
BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234.0,West
KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153.0,South
KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041.0,Central
JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707.0,South
GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095.0,Central
RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206.0,West
PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009.0,East
ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106.0,Central
GZ-14470,Gary Zandusky,Consumer,United States,Rochester,Minnesota,55901.0,Central
CL-12565,Clay Ludtke,Consumer,United States,Urbandale,Iowa,50322.0,Central
DK-13090,Dave Kipp,Consumer,United States,Seattle,Washington,98103.0,West
GG-14650,Greg Guthrie,Corporate,United States,Bristol,Tennessee,37620.0,South
TS-21610,Troy Staebel,Consumer,United States,Phoenix,Arizona,85023.0,West
LS-16975,Lindsay Shagiari,Home Office,United States,Los Angeles,California,90004.0,West
DW-13585,Dorothy Wardle,Corporate,United States,Columbus,Ohio,43229.0,East
JD-15895,Jonathan Doherty,Corporate,United States,Philadelphia,Pennsylvania,19140.0,East
HA-14920,Helen Andreada,Consumer,United States,Pasadena,California,91104.0,West
JE-16165,Justin Ellison,Corporate,United States,Franklin,Wisconsin,53132.0,Central
DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115.0,West
TT-21070,Ted Trevino,Consumer,United States,Los Angeles,California,90045.0,West
MJ-17740,Max Jones,Consumer,United States,Seattle,Washington,98115.0,West
BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207.0,Central
CS-12130,Chad Sievert,Consumer,United States,Los Angeles,California,90004.0,West
DK-13150,David Kendrick,Corporate,United States,Decatur,Illinois,62521.0,Central
BS-11755,Bruce Stewart,Consumer,United States,Denver,Colorado,80219.0,West
HK-14890,Heather Kirkland,Corporate,United States,Franklin,Tennessee,37064.0,South
JH-15985,Joseph Holt,Consumer,United States,Saginaw,Michigan,48601.0,Central
VW-21775,Victoria Wilson,Corporate,United States,Medina,Ohio,44256.0,East
CS-12400,Christopher Schild,Home Office,United States,Tampa,Florida,33614.0,South
KL-16645,Ken Lonsdale,Consumer,United States,Chicago,Illinois,60610.0,Central
